Date,T2M,WS2M,QV2M,RH2M,PREC,PS,SWRD
19/05/15,26.03,1.78,18.37,87.62,3.98,100.64,6.39
20/05/15,26.85,1.55,18.8,85.38,2.26,100.61,6.42
21/05/15,26.95,1.83,19.65,88.56,3.33,100.66,6.56
22/05/15,26.62,2.09,19.71,90.44,15.53,100.73,6.35
23/05/15,25.98,2.48,19.1,91.12,4.46,100.71,6.68
24/05/15,25.92,1.66,17.76,85.25,0.59,100.73,6.6
25/05/15,26.53,1.89,18.55,85.88,1.82,100.61,6.54
26/05/15,26.68,2.68,19.41,88.81,8.23,100.53,6.65
27/05/15,26.49,2.56,19.71,91.12,11.98,100.54,6.35
28/05/15,25.84,2.05,18.62,89.5,7.06,100.57,6.62
29/05/15,25.98,1.99,18.74,89.38,5.81,100.54,6.39
30/05/15,26.45,2.18,18.98,88,4.46,100.53,6.65
31/05/15,26.49,2.34,19.17,88.75,7.82,100.6,6.55
01/06/15,26.34,2.55,18.86,88.06,10.68,100.54,6.37
02/06/15,26.01,2.98,18.86,89.56,17.78,100.55,6.42
03/06/15,25.87,2.03,18.49,88.88,32.04,100.64,6.46
04/06/15,25.31,2.38,18.43,91.5,43.78,100.71,6.31
05/06/15,24.92,2.13,18.31,92.88,49.53,100.69,6.37
06/06/15,25.33,2.09,17.82,88.5,13.74,100.63,6.38
07/06/15,25.59,2.16,18.19,88.69,4.59,100.62,6.47
08/06/15,25.48,2.43,18.49,90.75,22.69,100.64,6.36
09/06/15,25.59,3.23,18.37,89.56,22.29,100.63,6.47
10/06/15,25.63,2.49,18.13,88.56,9.05,100.74,6.44
11/06/15,25.95,1.78,18.07,86.69,1.66,100.72,6.27
12/06/15,26.03,2.5,18.8,89.69,10,100.7,5.86
13/06/15,25.63,3.16,18.62,90.75,7.12,100.69,5.91
14/06/15,25.49,3.1,18.43,90.69,13.65,100.65,6
15/06/15,25.21,2.95,17.94,89.81,15.82,100.73,6.26
16/06/15,25.16,2.92,17.46,87.5,2.93,100.74,6.36
17/06/15,25.42,2.67,17.88,88.44,10.09,100.61,6.28
18/06/15,25.44,3.67,18.19,89.56,8,100.61,6.08
19/06/15,25.3,3.33,17.82,88.69,8.31,100.67,6.27
20/06/15,25.15,3.1,17.7,88.81,14.31,100.8,6.43
21/06/15,25.18,3.03,17.64,88.56,10.03,100.87,6.42
22/06/15,24.92,3.35,17.4,88.75,13.73,100.94,6.5
23/06/15,25.01,2.95,17.33,87.88,11.26,100.95,6.45
24/06/15,25.01,2.82,17.27,87.75,9.18,101.03,6.42
25/06/15,25.07,3.08,17.46,88.38,2.06,101.07,6.33
26/06/15,25.21,2.95,17.64,88.62,1.8,100.93,6.34
27/06/15,25.24,3.34,17.94,89.69,2.99,100.8,6.33
28/06/15,24.85,3.24,17.7,90.38,4.74,100.83,6.28
29/06/15,25.11,2.7,17.52,88.38,1.24,100.87,6.45
30/06/15,25.12,2.52,17.58,88.62,1.51,100.88,6.51
01/07/15,25.22,2.55,17.94,89.88,0.55,100.78,6.43
02/07/15,25.26,3.04,18.01,89.94,1.04,100.77,6.38
03/07/15,25.3,2.69,18.13,90.44,1.47,100.73,6.37
04/07/15,25.01,2.66,17.7,89.62,1.02,100.76,6.52
05/07/15,25,2.42,17.64,89.5,1.31,100.64,6.29
06/07/15,24.89,2.16,17.88,91.25,2.42,100.58,6.52
07/07/15,25.26,2,18.01,89.81,1,100.61,6.46
08/07/15,25.22,2.27,18.19,91.06,2.53,100.64,6.49
09/07/15,25.02,2.33,18.43,93,3.81,100.71,6.28
10/07/15,25.41,2.02,18.55,91.75,5.38,100.82,6.14
11/07/15,25.48,2.24,18.55,91.5,7.38,100.81,6.38
12/07/15,25.51,2.59,18.49,91.12,9.38,100.76,6.43
13/07/15,24.86,2.75,18.13,92.56,7.04,100.7,6.49
14/07/15,24.87,2.89,17.88,91.38,6.97,100.68,6.47
15/07/15,24.65,3.16,17.64,91.19,4.8,100.71,6.33
16/07/15,24.54,3.05,17.4,90.81,5.16,100.73,6.46
17/07/15,24.76,2.12,17.4,89.56,1.52,100.75,6.66
18/07/15,24.74,2.95,17.7,91.06,2.65,100.76,6.44
19/07/15,24.21,3.1,17.21,91.38,2.64,100.72,6.52
20/07/15,24.36,3.29,16.97,89.62,1.48,100.75,6.35
21/07/15,24.19,3.13,16.72,89,1.59,100.81,6.38
22/07/15,23.77,2.93,15.99,87.75,1.1,100.89,6.63
23/07/15,23.73,2.48,15.93,87.44,0.69,100.85,6.62
24/07/15,23.94,2.52,16.3,88.19,0.37,100.77,6.65
25/07/15,24.01,2.88,16.42,88.69,0.32,100.76,6.62
26/07/15,24.11,2.55,15.99,85.88,0.05,100.8,6.7
27/07/15,23.78,3.08,15.99,87.5,0.13,100.79,6.81
28/07/15,23.92,3.6,15.99,86.94,0.34,100.81,6.77
29/07/15,23.72,2.79,15.62,86.19,0.14,100.9,6.91
30/07/15,23.75,2.83,15.87,87.12,0.27,100.87,6.76
31/07/15,23.76,2.77,16.24,88.94,0.33,100.78,6.74
01/08/15,24.18,2.47,16.78,89.75,0.32,100.7,6.66
02/08/15,24.23,2.71,16.91,89.88,0.38,100.67,6.64
03/08/15,24.44,2.88,17.27,90.56,0.71,100.75,6.49
04/08/15,24.43,2.91,17.09,89.94,1.12,100.75,6.68
05/08/15,24.05,2.79,16.6,89.62,0.27,100.73,6.48
06/08/15,24.14,3,16.78,89.75,0.37,100.65,6.4
07/08/15,24.47,3.85,17.21,90,1.07,100.57,6.6
08/08/15,24.43,3.38,17.15,90.12,1.2,100.65,6.7
09/08/15,24.54,2.56,17.09,89.5,0.28,100.7,6.77
10/08/15,24.44,3.35,17.03,89.56,0.65,100.62,6.63
11/08/15,24.51,3.4,17.03,89,0.68,100.69,6.61
12/08/15,24.89,2.16,17.15,88.12,0.46,100.84,6.55
13/08/15,24.8,2.71,17.15,88.38,0.49,100.76,6.56
14/08/15,24.58,3.48,17.27,89.94,1,100.71,6.58
15/08/15,24.36,3.53,16.91,89.31,1.14,100.73,6.76
16/08/15,24.52,3.09,16.78,87.88,0.44,100.83,6.55
17/08/15,24.44,2.8,16.78,88.56,1.59,100.8,6.33
18/08/15,24.08,3.11,16.6,89.12,0.95,100.69,6.14
19/08/15,24.55,2.75,16.85,87.88,0.53,100.63,6.49
20/08/15,24.42,2.84,16.91,88.75,0.83,100.6,6.52
21/08/15,23.73,3.05,16.85,91.88,3.46,100.63,6.86
22/08/15,24.19,2.9,16.3,87,0.31,100.67,6.77
23/08/15,24.67,2.04,16.17,84,0.25,100.63,6.92
24/08/15,24.16,2.47,16.6,88.5,1.45,100.67,6.67
25/08/15,24.48,2.9,16.78,88.06,0.88,100.72,6.82
26/08/15,24.62,2.59,16.48,86.06,0.43,100.72,6.81
27/08/15,24.28,2.97,16.36,86.75,1,100.63,6.78
28/08/15,24.19,3.33,16.3,87,1.41,100.62,6.84
29/08/15,24,3.05,15.75,85.69,0.04,100.85,6.8
30/08/15,23.76,2.74,15.56,85.94,0.06,100.93,7
31/08/15,24.07,2.99,15.75,85.38,0.03,100.89,6.71
01/09/15,24.31,2.87,15.93,84.75,0.04,100.78,6.71
02/09/15,24.02,3.31,16.36,88.06,0.15,100.77,6.9
03/09/15,24.48,2.53,16.24,85.62,0.09,100.76,6.85
04/09/15,24.65,3.09,16.36,85.31,0.09,100.73,6.82
05/09/15,24.62,3.46,16.36,85.44,0.16,100.78,6.85
06/09/15,23.81,3.04,16.24,88.56,0.98,100.82,7.01
07/09/15,24.94,2.37,16.66,85.44,0.06,100.78,6.96
08/09/15,24.91,2.53,16.97,86.94,1.69,100.61,6.86
09/09/15,24.9,2.93,16.91,86.62,2.07,100.57,6.81
10/09/15,25.03,2.72,16.54,84.44,0.9,100.62,6.91
11/09/15,25.2,2.2,16.72,84.44,1.47,100.64,6.77
12/09/15,25.14,2.69,17.03,85.94,2.13,100.58,6.91
13/09/15,25.26,3.31,17.03,85.56,1.15,100.66,7.15
14/09/15,25.17,3.02,16.78,84.94,0.48,100.74,7.12
15/09/15,24.8,3.31,16.72,86.38,2.65,100.75,6.86
16/09/15,24.52,3.01,16.54,86.62,1.35,100.73,6.93
17/09/15,25.19,2.77,16.66,84.12,0.84,100.61,6.8
18/09/15,25.27,3.51,16.78,84.31,1.1,100.58,6.84
19/09/15,25.39,3.24,16.6,83.12,0.84,100.7,7
20/09/15,25.35,2.69,16.6,83.31,0.79,100.77,6.93
21/09/15,25.44,2.48,16.97,84.62,1.07,100.73,6.81
22/09/15,25.73,3.06,17.03,83.56,1.06,100.67,7.17
23/09/15,25.57,2.73,17.21,85.06,4.51,100.66,6.93
24/09/15,25.8,2.42,17.27,84.06,2.58,100.65,6.9
25/09/15,24.75,2.75,17.52,90.25,6.03,100.66,6.87
26/09/15,25.65,2.79,17.21,84.5,3.85,100.58,7.07
27/09/15,25.53,2.71,16.72,82.69,2.34,100.51,6.93
28/09/15,25.59,2.7,17.03,83.62,1.41,100.49,6.85
29/09/15,25.87,3.05,17.27,83.5,1.58,100.51,6.8
30/09/15,25.82,2.7,17.21,83.69,2.19,100.5,6.77
01/10/15,25.71,2.7,17.15,83.69,2.85,100.48,6.79
02/10/15,26.02,2.66,17.27,82.75,1.14,100.48,6.73
03/10/15,26.06,3.04,17.64,84.38,4.3,100.57,6.63
04/10/15,26.19,2.52,17.4,82.81,5.12,100.68,6.86
05/10/15,26.03,2.77,17.03,81.94,6,100.69,6.86
06/10/15,26.15,2.75,17.21,82.12,3.82,100.68,6.92
07/10/15,25.15,2.56,17.82,89.5,23.76,100.68,6.69
08/10/15,25.53,2.62,17.94,88.38,4.42,100.58,6.7
09/10/15,25.62,2.6,18.07,88.5,5.03,100.61,6.84
10/10/15,26,2.45,18.07,86.75,3.64,100.65,6.96
11/10/15,26.4,2.45,18.01,84.44,2.22,100.63,6.92
12/10/15,26.54,2.55,18.19,84.62,2.87,100.67,6.92
13/10/15,26.41,2.3,18.19,85.19,6.43,100.65,6.76
14/10/15,26.33,2.35,18.31,86.12,8.76,100.58,6.69
15/10/15,25.25,2.55,18.68,92.75,12.93,100.54,6.73
16/10/15,26.23,2.25,18.49,87.25,10.95,100.55,6.8
17/10/15,26.36,2.76,18.74,87.75,9.69,100.59,6.76
18/10/15,26.33,2.46,18.49,86.75,11.08,100.69,6.82
19/10/15,26.29,2.52,18.55,87.38,9.63,100.67,6.83
20/10/15,26.19,2.39,18.68,88.06,13.46,100.62,6.68
21/10/15,26.33,2.28,18.98,88.75,21.24,100.57,6.59
22/10/15,25.27,2.71,18.68,92.88,9.83,100.56,6.68
23/10/15,26.03,2.47,18.37,87.5,3.89,100.63,6.7
24/10/15,26.3,2.48,18.13,85.19,2.04,100.63,6.78
25/10/15,26.2,2.55,18.13,85.62,3.1,100.64,6.75
26/10/15,26.38,2.15,18.31,85.56,3.21,100.61,6.41
27/10/15,26.57,2.24,18.49,85.75,2.42,100.64,6.46
28/10/15,25.78,2.26,18.49,89.31,5.8,100.58,6.61
29/10/15,26.35,1.86,18.49,86.69,8.06,100.53,6.59
30/10/15,26.01,2.16,18.62,88.5,6.48,100.47,6.61
31/10/15,25.82,2.41,19.29,92.56,22.38,100.45,6.47
01/11/15,25.66,1.69,18.07,88.06,15.92,100.58,6.3
02/11/15,25.9,1.81,18.43,88.5,7.23,100.59,6.25
03/11/15,26.72,1.16,18.49,84.69,6.66,100.51,6.38
04/11/15,26.23,2.45,18.43,86.81,2.28,100.55,6.49
05/11/15,26.29,2.15,18.37,86.5,2.89,100.61,6.39
06/11/15,26.22,1.86,18.49,87.12,7.35,100.57,6.38
07/11/15,25.75,1.99,18.62,89.94,11.7,100.52,6.33
08/11/15,26.4,2.02,18.31,85.56,6.07,100.63,6.22
09/11/15,26.03,2.08,18.31,87.5,8.44,100.75,6.37
10/11/15,26.32,1.68,18.01,84.62,5.65,100.66,6.22
11/11/15,26.57,1.63,18.25,84.38,3.86,100.49,6.38
12/11/15,26.72,1.57,18.31,83.94,1.04,100.46,6.33
13/11/15,27.08,1.4,18.62,83.81,1.14,100.62,6.07
14/11/15,26.62,1.62,18.55,85.88,1.59,100.67,5.97
15/11/15,26.54,1.46,18.07,83.94,1.28,100.62,6.08
16/11/15,26.48,1.62,17.94,83.81,1.2,100.49,6.11
17/11/15,26.06,1.9,18.62,88.38,18.16,100.44,6.2
18/11/15,26.8,1.74,18.8,85.75,5.35,100.35,6.4
19/11/15,26.97,1.52,18.74,84.56,5.22,100.4,6.23
20/11/15,26.94,1.41,18.68,84.62,4.88,100.44,5.93
21/11/15,26.68,1.8,18.8,86.12,4.46,100.33,5.76
22/11/15,26.54,1.66,18.62,86,8.27,100.32,5.66
23/11/15,26.62,1.48,18.74,86.38,10.19,100.39,5.83
24/11/15,26.76,1.56,18.8,86.12,9.97,100.54,5.78
25/11/15,26.93,1.95,19.17,86.56,5.49,100.51,5.99
26/11/15,26.85,1.75,19.1,86.69,14.86,100.42,5.95
27/11/15,26.91,1.68,18.92,85.62,1.19,100.45,6.11
28/11/15,26.92,1.97,18.98,85.88,2.29,100.52,6.09
29/11/15,27.47,1.48,18.86,83,1.31,100.62,6.12
30/11/15,27.26,1.56,18.92,84.44,1.1,100.7,6.05
01/12/15,26.88,2.12,18.92,86.06,1.54,100.66,5.93
02/12/15,26.74,1.44,18.49,84.81,12.91,100.64,5.67
03/12/15,25.87,0.98,18.01,86.56,10.45,100.58,5.4
04/12/15,26.21,1.76,16.48,78.19,2.63,100.66,5.38
05/12/15,25.6,1.15,13.73,68.12,1.31,100.68,3.81
06/12/15,26.2,0.94,15.14,71.62,1.95,100.7,4.05
07/12/15,25.77,1.46,15.38,75.25,0.18,100.68,3.99
08/12/15,25.97,1.28,16.05,77.56,0.14,100.63,4.54
09/12/15,26.25,1.23,17.7,83.94,0.21,100.69,4.83
10/12/15,26.2,1.18,16.36,78.25,0.18,100.71,5.24
11/12/15,26.07,1.23,16.78,80.81,0.13,100.79,5.22
12/12/15,26.08,1.52,17.64,84.56,0.06,100.71,5.02
13/12/15,26.25,1.41,17.52,83.12,0.07,100.6,5.04
14/12/15,26.38,1.35,17.46,81.88,0.19,100.57,5.19
15/12/15,26.35,1.74,15.62,73.88,0.07,100.64,5.35
16/12/15,23.82,2.09,12.21,68,0.01,100.69,5.43
17/12/15,24.51,1.23,12.7,67.69,0.07,100.71,5.52
18/12/15,25.55,1.53,13.98,69.69,0.32,100.78,5.47
19/12/15,24.48,1.8,10.13,54.19,0.01,100.73,5.4
20/12/15,25.06,1.43,10.74,55.69,0.02,100.73,5.17
21/12/15,25.73,1.16,11.84,58.06,0.01,100.68,4.91
22/12/15,26.18,1.24,14.28,68.75,0.01,100.66,5.06
23/12/15,25.98,1.68,15.99,77.94,0.02,100.64,5.21
24/12/15,26.31,1.42,16.54,78.62,0.22,100.69,5.18
25/12/15,25.57,1.93,14.04,70.44,0.11,100.69,4.89
26/12/15,24.37,2.37,12.02,64.38,0.09,100.66,3.91
27/12/15,24.45,1.62,10.68,57.19,0,100.61,3.92
28/12/15,25.3,1.66,11.05,56.31,0,100.69,4.14
29/12/15,25.05,2.06,11.29,59.44,0.01,100.76,4.76
30/12/15,25.21,1.8,13.49,70.44,0.05,100.76,4.83
31/12/15,26.48,1.71,16.91,79.62,0.08,100.66,4.93
01/01/16,26.69,1.55,16.3,76.44,0.33,100.59,5.06
02/01/16,25.62,1.86,12.45,63.62,0.54,100.61,4.78
03/01/16,26.6,1.71,12.76,61.56,0.44,100.53,4.83
04/01/16,25.81,2.09,11.72,59.31,0.09,100.56,5.09
05/01/16,26.23,1.44,12.45,61.06,0.04,100.58,5.13
06/01/16,24.4,4.02,8.85,48.31,0.01,100.66,5.09
07/01/16,24.84,3.77,8.97,46.56,0,100.6,5.28
08/01/16,26.83,2.51,9.77,46.06,0,100.59,5.6
09/01/16,26.05,1.63,12.63,62,0.01,100.66,5.21
10/01/16,26.66,2.27,16.3,77.19,0.14,100.58,5.16
11/01/16,27.4,2.05,16.85,76.06,0,100.49,5.21
12/01/16,27.84,2.2,17.33,75.94,0,100.41,5.32
13/01/16,27.93,2.3,17.7,76.81,0,100.47,5.41
14/01/16,28.24,1.98,17.58,75.25,0,100.43,5.57
15/01/16,28.33,2.21,17.76,75.56,0.01,100.47,5.19
16/01/16,28.11,2.14,17.88,77.12,0.42,100.49,5.45
17/01/16,28.33,2.21,17.82,76.06,0.25,100.44,5.59
18/01/16,28.06,2.22,17.64,76.25,0.62,100.46,5.66
19/01/16,28.08,1.95,17.76,76.56,0.75,100.41,5.73
20/01/16,28.06,2.38,18.19,78.31,1.16,100.43,5.63
21/01/16,27.58,1.68,18.13,79.75,5.98,100.48,5.99
22/01/16,27.76,1.65,16.91,75.75,0.91,100.54,5.81
23/01/16,27.8,1.52,15.44,70.5,0.62,100.64,5.89
24/01/16,27.94,1.99,15.62,70.81,0.52,100.73,5.79
25/01/16,27.77,1.59,16.97,74.62,0.97,100.76,5.37
26/01/16,27.92,1.52,14.71,66.62,0.08,100.77,5.17
27/01/16,26.78,1.67,13.92,65.69,0.03,100.67,4.6
28/01/16,27.12,1.78,12.39,59.12,0,100.6,4.75
29/01/16,26.05,2.14,9.4,47.88,0,100.56,4.72
30/01/16,26.46,2.14,10.93,55.19,0,100.61,4.79
31/01/16,26.25,1.62,13.31,66.69,0,100.66,4.52
01/02/16,26.72,1.73,13.24,65.94,0,100.54,4.81
02/02/16,26.73,1.74,13.73,67.56,0,100.44,5.09
03/02/16,27.02,1.79,15.62,73.38,0.01,100.49,4.98
04/02/16,27.69,1.68,15.99,71.94,0.01,100.55,4.97
05/02/16,27.99,1.82,15.81,71.19,0.01,100.53,4.56
06/02/16,28.28,1.98,15.99,71.56,0.01,100.56,4.55
07/02/16,28.6,2.4,16.72,72.38,0.05,100.63,4.8
08/02/16,28.77,1.95,17.09,72.12,0.07,100.7,4.88
09/02/16,28.87,1.66,15.87,67.56,0.08,100.64,4.69
10/02/16,28.14,1.64,12.76,59.5,0.08,100.51,4.9
11/02/16,27.85,2.14,15.87,71.31,0.09,100.47,5.37
12/02/16,28.33,2.04,16.36,71.81,0.3,100.45,5.17
13/02/16,28.24,2.42,17.27,74.75,0.51,100.51,5.08
14/02/16,28.3,3.04,17.76,75.69,1.33,100.51,4.74
15/02/16,28.32,2.3,16.91,71.81,1.2,100.43,5.01
16/02/16,29.17,2.02,17.21,70.06,0.26,100.45,5.32
17/02/16,28.9,2.13,17.76,73.88,0.19,100.5,5.37
